               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069781,             0.04392,             0.01628,             0.72594,             0.65813,             0.69956,              0.3284,            0.042962,            0.029877,           0.0082939,            0.003327,            0.003327,            0.070057
                   1,            0.047306,             0.03247,           0.0060324,             0.79939,             0.75533,             0.79907,             0.41409,            0.038558,            0.027217,           0.0073266,           0.0064406,           0.0064406,            0.039837
                   2,             0.04456,            0.032717,           0.0050207,             0.78649,             0.74085,             0.79122,              0.4179,            0.038485,            0.028493,           0.0083828,           0.0093341,           0.0093341,           0.0093971
                   3,            0.040826,            0.032688,           0.0047223,             0.79838,             0.74924,             0.80253,             0.44531,            0.036095,            0.027842,           0.0072194,             0.00901,             0.00901,             0.00901
                   4,            0.038151,            0.031382,            0.003832,             0.82396,             0.77587,             0.82896,             0.46036,            0.035375,            0.026712,           0.0062163,             0.00901,             0.00901,             0.00901
                   5,            0.036694,            0.030221,            0.003392,              0.8126,             0.78674,             0.83627,             0.47522,            0.034568,            0.026539,           0.0055906,             0.00868,             0.00868,             0.00868
                   6,            0.035503,            0.030026,           0.0027156,             0.83659,             0.78542,             0.84723,              0.4798,            0.034483,            0.026391,           0.0053079,             0.00835,             0.00835,             0.00835
                   7,            0.034395,            0.028737,           0.0025847,             0.84232,             0.79192,             0.85249,             0.48872,            0.033668,            0.025985,           0.0051075,             0.00802,             0.00802,             0.00802
                   8,            0.034187,             0.02863,           0.0023394,             0.84061,             0.80119,              0.8513,             0.49114,             0.03353,            0.025816,           0.0051057,             0.00769,             0.00769,             0.00769
                   9,             0.03343,            0.027771,            0.002174,             0.83736,             0.79343,             0.84409,             0.48563,             0.03369,            0.025934,           0.0053821,             0.00736,             0.00736,             0.00736
                  10,            0.033012,             0.02749,           0.0020215,             0.84726,             0.81165,             0.85719,             0.49146,            0.033596,            0.025658,           0.0041368,             0.00703,             0.00703,             0.00703
                  11,            0.032626,            0.027273,           0.0017985,             0.84409,             0.82357,             0.86326,             0.50259,            0.032928,            0.025555,            0.003727,              0.0067,              0.0067,              0.0067
                  12,            0.032065,            0.027323,           0.0017077,             0.85703,             0.81211,             0.86507,             0.50886,            0.033161,            0.025704,           0.0042735,             0.00637,             0.00637,             0.00637
                  13,            0.031547,            0.026167,           0.0017042,             0.85819,               0.807,             0.86428,             0.50843,            0.032875,            0.025923,           0.0040027,             0.00604,             0.00604,             0.00604
                  14,            0.031363,            0.026524,           0.0015318,             0.83884,             0.82104,             0.86085,             0.50683,            0.032786,            0.025624,           0.0045628,             0.00571,             0.00571,             0.00571
                  15,            0.030936,            0.026514,           0.0014365,             0.85512,             0.81235,             0.86068,             0.50704,            0.032753,            0.025538,           0.0048417,             0.00538,             0.00538,             0.00538
                  16,            0.030669,            0.026309,           0.0014556,             0.85092,             0.80688,              0.8645,             0.51163,            0.032708,            0.025625,           0.0048668,             0.00505,             0.00505,             0.00505
                  17,            0.030414,            0.025803,           0.0012265,             0.84538,             0.81786,             0.85182,             0.50536,            0.032459,            0.026028,           0.0052234,             0.00472,             0.00472,             0.00472
                  18,             0.02999,              0.0254,           0.0012076,             0.85216,             0.82283,             0.86529,             0.51133,            0.032505,            0.025306,            0.004542,             0.00439,             0.00439,             0.00439
                  19,            0.029676,            0.024779,           0.0011712,              0.8519,              0.8169,             0.86422,             0.51137,            0.032383,            0.025808,            0.004533,             0.00406,             0.00406,             0.00406
                  20,            0.029496,            0.024609,           0.0011164,             0.85695,             0.81356,             0.85589,             0.50623,            0.032634,            0.026432,           0.0043233,             0.00373,             0.00373,             0.00373
                  21,            0.029015,            0.024342,           0.0010185,             0.85354,              0.8164,             0.85886,             0.50759,             0.03262,            0.026699,           0.0045558,              0.0034,              0.0034,              0.0034
                  22,            0.028679,            0.024101,          0.00095128,             0.84662,             0.83219,             0.85628,             0.50575,            0.032577,             0.02627,            0.005033,             0.00307,             0.00307,             0.00307
                  23,            0.028308,             0.02393,           0.0008731,             0.85245,             0.81848,              0.8568,             0.50539,            0.032624,            0.026176,            0.005477,             0.00274,             0.00274,             0.00274
                  24,            0.028065,            0.023667,          0.00084854,             0.85155,             0.81908,             0.86348,             0.51068,            0.032605,            0.026575,           0.0046266,             0.00241,             0.00241,             0.00241
                  25,            0.027593,            0.023669,          0.00089167,             0.85241,             0.82181,             0.86134,             0.50858,            0.032657,            0.026817,           0.0045499,             0.00208,             0.00208,             0.00208
                  26,            0.027312,            0.023152,          0.00077883,             0.85304,             0.82166,             0.85742,             0.50775,            0.032561,            0.026659,           0.0048312,             0.00175,             0.00175,             0.00175
                  27,            0.026823,             0.02297,           0.0007416,             0.85502,             0.82942,             0.86127,             0.51284,            0.032562,            0.026713,           0.0045913,             0.00142,             0.00142,             0.00142
                  28,            0.026471,            0.022724,          0.00072616,             0.85085,             0.83875,             0.86204,             0.51258,            0.032531,            0.026904,           0.0049811,             0.00109,             0.00109,             0.00109
                  29,            0.026032,            0.022141,          0.00067483,             0.85463,             0.83306,             0.86411,             0.51445,            0.032561,            0.026997,           0.0048329,             0.00076,             0.00076,             0.00076
