               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072134,            0.033838,            0.017091,             0.71541,             0.62622,               0.679,             0.32105,            0.043248,            0.022967,           0.0087077,           0.0033318,           0.0033318,            0.070014
                   1,            0.050365,            0.027219,           0.0071267,             0.78713,             0.71888,             0.77828,             0.38651,            0.040576,            0.020757,           0.0070549,           0.0064451,           0.0064451,            0.039794
                   2,            0.048697,            0.027378,           0.0062848,              0.7673,             0.69131,              0.7532,             0.36273,            0.041178,            0.021723,           0.0068706,           0.0093385,           0.0093385,           0.0093543
                   3,            0.045394,            0.027934,           0.0060528,             0.80234,             0.69647,             0.78095,             0.40725,            0.038417,            0.021015,           0.0071497,             0.00901,             0.00901,             0.00901
                   4,             0.04142,            0.026329,           0.0049642,             0.81412,             0.75225,             0.80787,              0.4351,            0.036451,             0.02071,           0.0057244,             0.00901,             0.00901,             0.00901
                   5,             0.04006,            0.025598,           0.0044486,             0.81215,             0.74151,             0.81066,             0.44036,            0.035824,            0.019727,           0.0064454,             0.00868,             0.00868,             0.00868
                   6,            0.038477,            0.025114,           0.0039575,             0.81319,             0.75919,             0.82565,              0.4543,            0.035171,            0.019925,           0.0053889,             0.00835,             0.00835,             0.00835
                   7,             0.03756,            0.024222,           0.0034437,             0.81719,             0.76903,             0.82689,             0.45481,            0.035023,            0.019663,           0.0054715,             0.00802,             0.00802,             0.00802
                   8,            0.036768,             0.02421,           0.0032592,             0.81984,             0.77277,             0.83666,             0.46138,            0.034702,            0.019584,           0.0053322,             0.00769,             0.00769,             0.00769
                   9,            0.036109,            0.023664,           0.0032421,             0.82708,             0.78979,             0.84506,             0.47479,            0.034116,            0.019186,           0.0052402,             0.00736,             0.00736,             0.00736
                  10,             0.03554,            0.023592,           0.0029923,              0.8212,             0.77909,             0.84168,             0.46636,            0.034134,            0.019191,           0.0057923,             0.00703,             0.00703,             0.00703
                  11,            0.035052,            0.023287,           0.0028955,             0.82248,             0.80314,             0.85455,             0.47838,            0.033549,            0.018939,           0.0050549,              0.0067,              0.0067,              0.0067
                  12,            0.034437,            0.022919,           0.0025028,             0.83887,             0.80498,             0.85989,             0.48276,             0.03348,            0.018777,           0.0054809,             0.00637,             0.00637,             0.00637
                  13,            0.034025,            0.022311,           0.0025468,             0.82899,             0.79707,             0.85129,             0.48309,             0.03325,            0.018852,           0.0055459,             0.00604,             0.00604,             0.00604
                  14,            0.033962,            0.022452,           0.0023297,             0.83557,             0.80894,             0.86054,             0.49058,            0.032799,            0.018746,           0.0045985,             0.00571,             0.00571,             0.00571
                  15,            0.033285,            0.022297,           0.0021398,             0.82413,             0.81694,             0.85595,             0.48161,            0.033157,            0.018737,           0.0054722,             0.00538,             0.00538,             0.00538
                  16,            0.033163,            0.022059,           0.0021279,             0.83522,             0.80911,             0.86329,             0.48672,            0.032983,            0.018651,           0.0046203,             0.00505,             0.00505,             0.00505
                  17,            0.032691,            0.021866,           0.0018527,              0.8457,              0.8043,              0.8613,              0.4891,             0.03256,            0.018514,           0.0041733,             0.00472,             0.00472,             0.00472
                  18,            0.032213,            0.021576,           0.0019094,             0.82699,             0.81187,             0.86062,             0.49495,            0.032422,             0.01851,           0.0051065,             0.00439,             0.00439,             0.00439
                  19,            0.032178,            0.021104,            0.001802,             0.83258,             0.81801,             0.86333,             0.48926,            0.032246,            0.018603,           0.0049151,             0.00406,             0.00406,             0.00406
                  20,            0.031869,            0.020784,           0.0016605,             0.83685,             0.81613,             0.86202,             0.48869,            0.032509,            0.018628,           0.0054664,             0.00373,             0.00373,             0.00373
                  21,            0.031322,              0.0207,           0.0016276,             0.82114,             0.81722,             0.85668,             0.49248,            0.032094,            0.018468,           0.0051706,              0.0034,              0.0034,              0.0034
                  22,            0.031145,            0.020728,           0.0014426,             0.84538,             0.81906,             0.86536,             0.49807,            0.031958,             0.01837,           0.0055447,             0.00307,             0.00307,             0.00307
                  23,            0.031021,            0.020619,           0.0014689,             0.84305,             0.81475,             0.85913,             0.49459,            0.031959,            0.018553,           0.0057753,             0.00274,             0.00274,             0.00274
                  24,            0.030784,            0.020491,           0.0014341,             0.85244,             0.81788,             0.86865,             0.50243,              0.0318,            0.018334,           0.0047771,             0.00241,             0.00241,             0.00241
                  25,            0.030331,            0.020607,           0.0013532,             0.84083,             0.81672,             0.85884,             0.49597,            0.031843,            0.018435,           0.0056957,             0.00208,             0.00208,             0.00208
                  26,            0.029846,            0.020065,           0.0013392,             0.84305,             0.81984,             0.86283,             0.49802,             0.03187,            0.018462,           0.0056915,             0.00175,             0.00175,             0.00175
                  27,            0.029672,            0.019965,           0.0012288,             0.84921,             0.81853,             0.86586,             0.50243,             0.03173,            0.018422,           0.0060626,             0.00142,             0.00142,             0.00142
                  28,             0.02941,            0.020107,           0.0012769,              0.8482,             0.82103,             0.86308,             0.49967,            0.031753,             0.01849,           0.0060364,             0.00109,             0.00109,             0.00109
                  29,            0.029122,             0.01953,           0.0012345,             0.84427,             0.82657,             0.86477,              0.5033,            0.031698,            0.018427,           0.0061839,             0.00076,             0.00076,             0.00076
