               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080925,             0.04551,            0.020153,             0.53048,             0.63873,             0.60429,             0.23477,            0.057262,            0.024848,           0.0090029,           0.0033067,           0.0033067,             0.07024
                   1,             0.05965,            0.033432,           0.0069539,             0.50006,             0.71061,             0.56419,             0.24106,            0.051748,            0.023334,           0.0052898,           0.0064209,           0.0064209,            0.040021
                   2,            0.051371,            0.032379,           0.0053263,             0.79129,             0.72257,             0.75176,             0.23389,            0.053889,            0.022815,           0.0038616,           0.0093151,           0.0093151,           0.0095818
                   3,            0.043868,            0.031756,           0.0042305,             0.84664,             0.83418,             0.87045,             0.42803,            0.039814,            0.021679,           0.0024684,             0.00901,             0.00901,             0.00901
                   4,            0.040682,            0.031793,           0.0033614,             0.86766,             0.82438,             0.88268,             0.47701,            0.036538,            0.021514,           0.0026999,             0.00901,             0.00901,             0.00901
                   5,             0.03792,            0.029729,           0.0028845,             0.88113,             0.84589,              0.8981,              0.4908,             0.03625,            0.020719,            0.002602,             0.00868,             0.00868,             0.00868
                   6,            0.036629,            0.029326,           0.0027668,              0.8863,             0.85786,             0.90033,              0.5133,            0.033555,            0.020723,           0.0016846,             0.00835,             0.00835,             0.00835
                   7,             0.03562,            0.028994,            0.002181,             0.87376,             0.84347,             0.88859,             0.50638,            0.033656,            0.020479,           0.0020107,             0.00802,             0.00802,             0.00802
                   8,            0.034817,            0.028421,           0.0020976,             0.89723,             0.85137,             0.91061,              0.4975,            0.034581,            0.020464,           0.0018674,             0.00769,             0.00769,             0.00769
                   9,              0.0342,            0.028362,           0.0020764,             0.88978,             0.87362,             0.91744,             0.51103,            0.033603,            0.020035,           0.0018211,             0.00736,             0.00736,             0.00736
                  10,            0.033895,            0.028114,           0.0020771,             0.90861,             0.85864,              0.9151,                0.52,            0.032879,             0.01987,           0.0015743,             0.00703,             0.00703,             0.00703
                  11,            0.033196,            0.027442,           0.0017598,             0.90879,             0.86924,             0.91481,             0.52908,            0.032816,            0.019784,           0.0015878,              0.0067,              0.0067,              0.0067
                  12,            0.032725,            0.027634,           0.0015752,             0.90468,             0.88194,             0.92222,             0.56267,            0.031298,            0.019065,           0.0015041,             0.00637,             0.00637,             0.00637
                  13,             0.03252,             0.02724,           0.0016033,             0.90133,             0.87996,             0.91707,             0.53928,            0.031587,             0.01926,           0.0014418,             0.00604,             0.00604,             0.00604
                  14,            0.032323,            0.027294,           0.0015342,             0.90483,               0.882,              0.9211,             0.55179,            0.031152,            0.018924,           0.0013531,             0.00571,             0.00571,             0.00571
                  15,            0.031969,            0.026916,           0.0014753,             0.91017,             0.88489,             0.92201,               0.549,            0.031921,            0.019161,           0.0012709,             0.00538,             0.00538,             0.00538
                  16,            0.031749,            0.026812,            0.001623,             0.89937,             0.88005,             0.91875,             0.54964,            0.031466,            0.019366,           0.0013817,             0.00505,             0.00505,             0.00505
                  17,            0.031548,            0.027038,           0.0015019,             0.90459,             0.87964,             0.92182,             0.56068,            0.031156,            0.019006,           0.0015271,             0.00472,             0.00472,             0.00472
                  18,            0.031191,            0.026111,           0.0012874,             0.90956,              0.8831,             0.91882,             0.54761,             0.03141,            0.019125,           0.0012991,             0.00439,             0.00439,             0.00439
                  19,            0.030933,            0.026137,           0.0012617,             0.90749,             0.89381,             0.92744,             0.54541,            0.031376,            0.019104,           0.0011928,             0.00406,             0.00406,             0.00406
                  20,            0.030653,            0.026527,           0.0010933,             0.91373,             0.88856,              0.9226,             0.55608,            0.030896,            0.019113,           0.0013352,             0.00373,             0.00373,             0.00373
                  21,              0.0304,            0.025524,           0.0012593,             0.90456,             0.89061,             0.92052,             0.57144,            0.030069,            0.018616,           0.0013525,              0.0034,              0.0034,              0.0034
                  22,            0.030219,            0.025895,           0.0010446,             0.90553,             0.88914,             0.93006,             0.57601,            0.030085,            0.018839,           0.0011694,             0.00307,             0.00307,             0.00307
                  23,            0.029902,            0.026198,           0.0010466,             0.91343,             0.88543,             0.92593,             0.57849,              0.0301,            0.018675,           0.0011005,             0.00274,             0.00274,             0.00274
                  24,            0.029877,            0.025604,          0.00099524,             0.91372,             0.89542,             0.92587,             0.57585,            0.030143,            0.018774,           0.0011019,             0.00241,             0.00241,             0.00241
                  25,            0.029555,            0.024956,          0.00088918,             0.91206,             0.89264,             0.92636,             0.56654,            0.030705,            0.018932,           0.0011743,             0.00208,             0.00208,             0.00208
                  26,            0.029251,            0.024902,          0.00092594,             0.91055,             0.89508,             0.92402,             0.56473,            0.030619,            0.018813,           0.0013178,             0.00175,             0.00175,             0.00175
                  27,            0.029385,             0.02556,          0.00096262,             0.91846,             0.88412,             0.92348,             0.56796,            0.030859,            0.019155,           0.0011968,             0.00142,             0.00142,             0.00142
                  28,            0.029276,            0.025203,          0.00087864,             0.91476,             0.89183,             0.92312,             0.56191,            0.030526,            0.018888,           0.0011888,             0.00109,             0.00109,             0.00109
                  29,            0.028927,            0.024828,          0.00076308,             0.91673,             0.89367,              0.9256,             0.57225,             0.03016,            0.018992,           0.0011084,             0.00076,             0.00076,             0.00076
